candidate_id,headline,summary,location,country,years_experience,current_title,current_company,current_company_size,current_industry,companies,titles,industries,career_months,career_years,job_count,avg_tenure_months,career_stability_score,company_count,title_count,institutions,degrees,fields,highest_degree,degree_score,graduation_year,education_count,cs_related_degree,education_text,skills,skill_count,ai_skills,programming_skills,database_skills,cloud_skills,vector_db_skills,mlops_skills,data_engineering_skills,backend_skills,frontend_skills,analytics_skills,other_skills,ai_skill_count,programming_skill_count,database_skill_count,cloud_skill_count,vector_db_skill_count,mlops_skill_count,data_engineering_skill_count,backend_skill_count,frontend_skill_count,analytics_skill_count,skills_text,certifications,certification_count,ai_certifications,cloud_certifications,data_certifications,ai_certification_count,cloud_certification_count,data_certification_count,certification_text,languages,language_count,professional_languages,native_languages,professional_language_count,native_language_count,average_language_score,languages_text,recruiter_response_rate,github_activity_score,interview_completion_rate,offer_acceptance_rate,profile_completeness_score,search_appearance_30d,saved_by_recruiters_30d,profile_views_received_30d,connection_count,endorsements_received,applications_submitted_30d,avg_response_time_hours,notice_period_days,open_to_work,willing_to_relocate,linkedin_connected,preferred_work_mode,verified_email,verified_phone,expected_salary_min,expected_salary_max,average_skill_assessment,behavior_score,behavior_text
CAND_0000001,backend engineer sql spark cloud,software / data professional with 6.9 years of experience building data pipelines backend systems and analytics infrastructure. i m a backend/data hybrid spark airflow sql warehouses are home territory i m building competence on the ml side. my toolkit is solid on the data engineering side python sql spark airflow warehouse design and i ve completed a couple of self-directed ml projects kaggle competitions side projects fine-tuning small models . interested in transitioning toward more ai/ml-focused work ideally at a company where i can leverage my existing data-infra skills while learning modern ml practice.,toronto,canada,6.9,backend engineer,mindtree,10001+,it services,"['mindtree', 'dunder mifflin']","['backend engineer', 'analytics engineer']","['it services', 'paper products']",82,6.83,2,41.0,3.42,2,2,['lovely professional university'],['b.e.'],['computer science'],b.e.,3,2020,1,True,lovely professional university b.e. computer science,"['tailwind', 'natural language processing', 'image classification', 'fine-tuning llms', 'weights & biases', 'speech recognition', 'photoshop', 'tts', 'lora', 'apache beam', 'aws', 'flask', 'bentoml', 'milvus', 'gans', 'statistical modeling', 'google cloud']",17,"['natural language processing', 'image classification', 'fine-tuning llms', 'speech recognition', 'tts', 'lora', 'gans']",[],[],"['aws', 'google cloud']",['milvus'],"['weights & biases', 'bentoml']",['apache beam'],['flask'],['tailwind'],['statistical modeling'],['photoshop'],7,0,0,2,1,2,1,1,1,1,tailwind natural language processing image classification fine-tuning llms weights & biases speech recognition photoshop tts lora apache beam aws flask bentoml milvus gans statistical modeling google cloud,[],0,[],[],[],0,0,0,,"['english', 'hindi']",2,['english'],[],1,0,2.5,english hindi,0.34,9.2,0.71,0.58,86.9,249,4,23,356,35,2,177.8,60,True,False,False,onsite,True,True,18.7,36.1,49.72,0.64,"Recruiter response 0.34, GitHub 9.2, Interview completion 0.71, Profile completeness 86.9, Assessment 49.72"
CAND_0000002,operations manager 12.5+ yrs experience,professional with 12.5+ years of experience. my professional background is in marketing manager i ve built and led teams owned kpis and driven business outcomes in this domain. lately i ve been curious about how ai tools could augment my work i ve experimented with chatgpt and a few other tools for productivity and content creation and i think the space is exciting. open to roles where i can apply my domain expertise alongside emerging ai capabilities.,chennai tamil nadu,india,12.5,operations manager,wipro,10001+,it services,"['wipro', 'acme corp', 'dunder mifflin']","['operations manager', 'marketing manager']","['it services', 'manufacturing', 'paper products']",149,12.42,4,37.25,3.1,3,2,['local engineering college'],['b.sc'],['mathematics'],b.sc,3,2011,1,False,local engineering college b.sc mathematics,"['project management', 'react', 'photoshop', 'typescript', 'marketing', 'kafka', 'javascript', 'feature engineering', 'google cloud']",9,[],"['typescript', 'javascript']",[],['google cloud'],[],[],['kafka'],[],['react'],[],"['project management', 'photoshop', 'marketing', 'feature engineering']",0,2,0,1,0,0,1,0,1,0,project management react photoshop typescript marketing kafka javascript feature engineering google cloud,[],0,[],[],[],0,0,0,,"['english', 'hindi']",2,['english'],[],1,0,2.5,english hindi,0.29,-1.0,0.62,-1.0,78.7,107,10,7,179,3,1,171.6,60,True,False,False,flexible,False,False,8.8,9.0,0.0,0.135,"Recruiter response 0.29, GitHub -1.0, Interview completion 0.62, Profile completeness 78.7, Assessment 0"
CAND_0000003,customer support 1.1+ yrs experience,professional with 1.1+ years of experience. i ve spent my career in marketing manager roles mostly focused on driving outcomes through process people and customer relationships. lately i ve been curious about how ai tools could augment my work i ve experimented with chatgpt and a few other tools for productivity and content creation and i think the space is exciting. open to roles where i can apply my domain expertise alongside emerging ai capabilities.,austin,usa,1.1,customer support,tcs,10001+,it services,['tcs'],['customer support'],['it services'],13,1.08,1,13.0,1.08,1,1,"['local engineering college', 'chandigarh university']","['m.e.', 'm.sc']","['chemical engineering', 'information technology']",m.e.,4,2021,2,True,local engineering college chandigarh university m.e. m.sc chemical engineering information technology,"['angular', 'seo', 'excel', 'accounting', 'kubernetes', 'databricks']",6,[],[],[],['kubernetes'],[],[],['databricks'],[],['angular'],['excel'],"['seo', 'accounting']",0,0,0,1,0,0,1,0,1,1,angular seo excel accounting kubernetes databricks,[],0,[],[],[],0,0,0,,"['english', 'hindi']",2,"['english', 'hindi']",[],2,0,3.0,english hindi,0.46,-1.0,0.86,-1.0,31.9,28,4,1,19,46,9,119.4,150,False,False,False,hybrid,True,False,11.2,18.1,0.0,0.147,"Recruiter response 0.46, GitHub -1.0, Interview completion 0.86, Profile completeness 31.9, Assessment 0"
CAND_0000004,marketing manager driving business outcomes,professional with 3.8+ years of experience. my professional background is in marketing manager i ve built and led teams owned kpis and driven business outcomes in this domain. lately i ve been curious about how ai tools could augment my work i ve experimented with chatgpt and a few other tools for productivity and content creation and i think the space is exciting. open to roles where i can apply my domain expertise alongside emerging ai capabilities.,sydney,australia,3.8,marketing manager,dunder mifflin,201-500,paper products,"['dunder mifflin', 'infosys', 'globex inc']","['marketing manager', 'operations manager', 'business analyst']","['paper products', 'it services', 'manufacturing']",44,3.67,3,14.67,1.22,3,3,"['local engineering college', 'lovely professional university']","['b.tech', 'ph.d']","['machine learning', 'electronics']",ph.d,5,2019,2,True,local engineering college lovely professional university b.tech ph.d machine learning electronics,"['node.js', 'content writing', 'redux', 'airflow', 'graphql', 'object detection', 'webpack', 'six sigma', 'sap', 'javascript']",10,['object detection'],['javascript'],[],[],[],['airflow'],[],['node.js'],[],[],"['content writing', 'redux', 'graphql', 'webpack', 'six sigma', 'sap']",1,1,0,0,0,1,0,1,0,0,node.js content writing redux airflow graphql object detection webpack six sigma sap javascript,"['aws certified cloud practitioner', 'scrum master certified']",2,[],['aws certified cloud practitioner'],[],0,1,0,aws certified cloud practitioner scrum master certified,"['english', 'hindi']",2,"['english', 'hindi']",[],2,0,3.0,english hindi,0.26,-1.0,0.35,-1.0,28.5,5,8,3,485,22,9,104.1,120,False,True,True,onsite,True,True,4.6,6.7,0.0,-0.0,"Recruiter response 0.26, GitHub -1.0, Interview completion 0.35, Profile completeness 28.5, Assessment 0"
CAND_0000005,accountant helping teams scale,professional with 11.0+ years of experience. i ve spent my career in marketing manager roles mostly focused on driving outcomes through process people and customer relationships. lately i ve been curious about how ai tools could augment my work i ve experimented with chatgpt and a few other tools for productivity and content creation and i think the space is exciting. open to roles where i can apply my domain expertise alongside emerging ai capabilities.,gurgaon haryana,india,11.0,accountant,stark industries,1001-5000,manufacturing,"['stark industries', 'wipro', 'initech', 'tcs']","['accountant', 'hr manager']","['manufacturing', 'it services', 'software']",130,10.83,4,32.5,2.71,4,2,['chandigarh university'],['m.sc'],['information technology'],m.sc,4,2012,1,True,chandigarh university m.sc information technology,"['sql', 'powerpoint', 'photoshop', 'tailwind', 'apache flink', 'image classification']",6,['image classification'],[],[],[],[],[],[],[],['tailwind'],[],"['sql', 'powerpoint', 'photoshop', 'apache flink']",1,0,0,0,0,0,0,0,1,0,sql powerpoint photoshop tailwind apache flink image classification,[],0,[],[],[],0,0,0,,"['english', 'hindi']",2,['english'],[],1,0,2.5,english hindi,0.37,-1.0,0.74,-1.0,84.6,67,1,12,300,14,2,116.7,30,True,True,True,hybrid,False,True,12.4,19.7,0.0,0.184,"Recruiter response 0.37, GitHub -1.0, Interview completion 0.74, Profile completeness 84.6, Assessment 0"
CAND_0000006,business analyst 6.0+ yrs experience,professional with 6.0+ years of experience. i ve spent my career in marketing manager roles mostly focused on driving outcomes through process people and customer relationships. lately i ve been curious about how ai tools could augment my work i ve experimented with chatgpt and a few other tools for productivity and content creation and i think the space is exciting. open to roles where i can apply my domain expertise alongside emerging ai capabilities.,austin,usa,6.0,business analyst,wayne enterprises,10001+,conglomerate,"['wayne enterprises', 'pied piper']","['business analyst', 'mechanical engineer']","['conglomerate', 'software']",71,5.92,2,35.5,2.96,2,2,['lovely professional university'],['b.sc'],['artificial intelligence'],b.sc,3,2008,1,True,lovely professional university b.sc artificial intelligence,"['content writing', 'seo', 'redux', 'sql', 'sales', 'grpc', 'django', 'terraform']",8,[],[],[],[],[],[],[],['django'],[],[],"['content writing', 'seo', 'redux', 'sql', 'sales', 'grpc', 'terraform']",0,0,0,0,0,0,0,1,0,0,content writing seo redux sql sales grpc django terraform,[],0,[],[],[],0,0,0,,"['english', 'hindi']",2,['english'],[],1,0,2.5,english hindi,0.12,-1.0,0.57,-1.0,29.7,131,9,53,389,29,8,172.1,150,False,True,False,remote,True,True,7.7,11.7,0.0,0.018,"Recruiter response 0.12, GitHub -1.0, Interview completion 0.57, Profile completeness 29.7, Assessment 0"
CAND_0000007,civil engineer 5.5+ yrs experience,professional with 5.5+ years of experience. my professional background is in marketing manager i ve built and led teams owned kpis and driven business outcomes in this domain. lately i ve been curious about how ai tools could augment my work i ve experimented with chatgpt and a few other tools for productivity and content creation and i think the space is exciting. open to roles where i can apply my domain expertise alongside emerging ai capabilities.,gurgaon haryana,india,5.5,civil engineer,wipro,10001+,it services,"['wipro', 'initech']","['civil engineer', 'mechanical engineer']","['it services', 'software']",65,5.42,2,32.5,2.71,2,2,['srm university'],['m.e.'],['data science'],m.e.,4,2013,1,True,srm university m.e. data science,"['content writing', 'mongodb', 'sales', 'apache spark', 'scrum', 'apache beam', 'illustrator']",7,[],[],['mongodb'],[],[],[],"['apache spark', 'apache beam']",[],[],[],"['content writing', 'sales', 'scrum', 'illustrator']",0,0,1,0,0,0,2,0,0,0,content writing mongodb sales apache spark scrum apache beam illustrator,[],0,[],[],[],0,0,0,,"['english', 'hindi']",2,"['english', 'hindi']",[],2,0,3.0,english hindi,0.62,-1.0,0.47,-1.0,74.6,104,8,2,122,50,1,61.3,30,False,True,True,onsite,True,True,6.7,14.6,0.0,0.165,"Recruiter response 0.62, GitHub -1.0, Interview completion 0.47, Profile completeness 74.6, Assessment 0"
CAND_0000008,operations manager 3.6+ yrs experience,professional with 3.6+ years of experience. i ve spent my career in marketing manager roles mostly focused on driving outcomes through process people and customer relationships. lately i ve been curious about how ai tools could augment my work i ve experimented with chatgpt and a few other tools for productivity and content creation and i think the space is exciting. open to roles where i can apply my domain expertise alongside emerging ai capabilities.,noida uttar pradesh,india,3.6,operations manager,wipro,10001+,it services,['wipro'],['operations manager'],['it services'],43,3.58,1,43.0,3.58,1,1,"['anna university', 'srm university']","['b.tech', 'm.sc']","['data science', 'computer engineering']",m.sc,4,2013,2,True,anna university srm university b.tech m.sc data science computer engineering,"['java', 'bigquery', 'apache spark', 'accounting', 'kubernetes', 'typescript', 'rust', 'html']",8,[],"['java', 'typescript', 'rust']",[],['kubernetes'],[],[],['apache spark'],[],['html'],[],"['bigquery', 'accounting']",0,3,0,1,0,0,1,0,1,0,java bigquery apache spark accounting kubernetes typescript rust html,['six sigma green belt'],1,[],[],[],0,0,0,six sigma green belt,"['english', 'hindi']",2,"['english', 'hindi']",[],2,0,3.0,english hindi,0.42,-1.0,0.74,-1.0,63.0,91,0,28,285,7,5,98.4,90,False,False,False,onsite,True,False,6.6,17.2,0.0,0.161,"Recruiter response 0.42, GitHub -1.0, Interview completion 0.74, Profile completeness 63.0, Assessment 0"
CAND_0000009,mechanical engineer driving business outcomes,professional with 11.0+ years of experience. my professional background is in marketing manager i ve built and led teams owned kpis and driven business outcomes in this domain. lately i ve been curious about how ai tools could augment my work i ve experimented with chatgpt and a few other tools for productivity and content creation and i think the space is exciting. open to roles where i can apply my domain expertise alongside emerging ai capabilities.,new york,usa,11.0,mechanical engineer,dunder mifflin,201-500,paper products,"['dunder mifflin', 'wipro', 'stark industries', 'acme corp']","['mechanical engineer', 'content writer', 'customer support', 'project manager']","['paper products', 'it services', 'manufacturing']",131,10.92,4,32.75,2.73,4,4,['kiit university'],['b.tech'],['electronics'],b.tech,3,2014,1,True,kiit university b.tech electronics,"['snowflake', 'grpc', 'javascript', 'opencv', 'go', 'powerpoint']",6,[],"['javascript', 'go']",['snowflake'],[],[],[],[],[],[],[],"['grpc', 'opencv', 'powerpoint']",0,2,1,0,0,0,0,0,0,0,snowflake grpc javascript opencv go powerpoint,[],0,[],[],[],0,0,0,,"['english', 'hindi']",2,['hindi'],['english'],1,1,3.5,english hindi,0.53,-1.0,0.54,0.48,39.6,74,1,50,516,34,8,202.0,150,False,False,False,remote,True,True,16.0,7.3,0.0,0.33,"Recruiter response 0.53, GitHub -1.0, Interview completion 0.54, Profile completeness 39.6, Assessment 0"
CAND_0000010,data engineer data pipelines & analytics,software / data professional with 4.6 years of experience building data pipelines backend systems and analytics infrastructure. most of my work has been data pipelines and analytics infrastructure i ve shipped a couple of small ml features but it s not the core of my day. my toolkit is solid on the data engineering side python sql spark airflow warehouse design and i ve completed a couple of self-directed ml projects kaggle competitions side projects fine-tuning small models . interested in transitioning toward more ai/ml-focused work ideally at a company where i can leverage my existing data-infra skills while learning modern ml practice.,london,uk,4.6,data engineer,ola,5001-10000,transportation,['ola'],['data engineer'],['transportation'],55,4.58,1,55.0,4.58,1,1,"['generic state university', 'local engineering college']","['b.e.', 'm.s.']","['mathematics', 'computer engineering']",m.s.,4,2018,2,True,generic state university local engineering college b.e. m.s. mathematics computer engineering,"['google cloud', 'spring boot', 'kubeflow', 'java', 'gans', 'figma', 'elasticsearch', 'opencv', 'cnn', 'azure', 'prompt engineering', 'object detection', 'mlops', 'python', 'bm25', 'weights & biases', 'sales']",17,"['gans', 'object detection']","['java', 'python']",[],"['google cloud', 'azure']",[],"['kubeflow', 'weights & biases']",[],[],[],[],"['spring boot', 'figma', 'elasticsearch', 'opencv', 'cnn', 'prompt engineering', 'mlops', 'bm25', 'sales']",2,2,0,2,0,2,0,0,0,0,google cloud spring boot kubeflow java gans figma elasticsearch opencv cnn azure prompt engineering object detection mlops python bm25 weights & biases sales,[],0,[],[],[],0,0,0,,"['english', 'hindi']",2,['hindi'],['english'],1,1,3.5,english hindi,0.4,33.7,0.53,-1.0,81.6,256,2,60,712,38,13,19.0,120,False,False,False,hybrid,True,True,13.0,32.0,68.47,0.767,"Recruiter response 0.4, GitHub 33.7, Interview completion 0.53, Profile completeness 81.6, Assessment 68.47"
